Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrest,I46,55-64,3040,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrest,I46,65-74,4764,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrest,I46,75-84,5291,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrest,I46,85+,5815,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrest,I46,Not stated,1,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrest,I46,All ages,21034,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,9,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",25-34,23,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",35-44,62,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,235,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,757,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,1870,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,3050,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,4394,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All ages,10400,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Heart failure,I50,0-24,5,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Heart failure,I50,25-34,41,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Heart failure,I50,35-44,86,
